"LONG"	"LAT"	"Date"	"month"	"year"	"long"	"lat"
"1"	"76 29.5000200000004W"	"13 10.69998S"	1972-03-26	3	1972	"-76.491667"	"-13.178333"
"2"	"76 34.7999999999999W"	"13 31.2S"	1972-03-26	3	1972	"-76.58"	"-13.52"
"3"	"76 30W"	"13 52.99998S"	1972-03-26	3	1972	"-76.5"	"-13.883333"
"4"	"76 4.99997999999977W"	"14 43.6000200000001S"	1972-03-27	3	1972	"-76.083333"	"-14.726667"
"5"	"76 17.80002W"	"14 54S"	1972-03-27	3	1972	"-76.296667"	"-14.9"
"6"	"75 54.0000000000003W"	"14 55.99998S"	1972-03-27	3	1972	"-75.9"	"-14.933333"
"7"	"75 37.9000199999996W"	"15 0.300000000000047S"	1972-03-27	3	1972	"-75.631667"	"-15.005"
"8"	"75 3.60000000000014W"	"15 46.69998S"	1972-03-28	3	1972	"-75.06"	"-15.778333"
"9"	"74 24.0000000000003W"	"15 58.00002S"	1972-03-28	3	1972	"-74.4"	"-15.966667"
"10"	"75 13.0000200000001W"	"15 40.00002S"	1972-03-30	3	1972	"-75.216667"	"-15.666667"
"11"	"75 10.9999800000003W"	"15 19.99998S"	1972-03-30	3	1972	"-75.183333"	"-15.333333"
"12"	"76 32.9999999999998W"	"13 22.99998S"	1972-09-05	9	1973	"-76.55"	"-13.383333"
"13"	"79 10.0000200000002W"	"8. 34.00002S"	1972-09-05	9	1973	"-79.166667"	"-8.566667"
"14"	"79 17.3766599999996W"	"7. 58.00002S"	1972-09-05	9	1973	"-79.289611"	"-7.966667"
"15"	"74 32.9999999999998W"	"15 46.00002S"	1972-09-05	9	1973	"-74.55"	"-15.766667"
"16"	"81 55.9999800000003W"	"6. 1.99997999999999S"	1972-09-05	9	1973	"-81.933333"	"-6.033333"
"17"	"81 1.00001999999989W"	"6. 34.00002S"	1972-09-05	9	1973	"-81.016667"	"-6.566667"
"18"	"82 10.0000200000002W"	"6. 46.00002S"	1972-09-05	9	1973	"-82.166667"	"-6.766667"
"19"	"80 9.00000000000034W"	"6. 51S"	1972-09-05	9	1973	"-80.15"	"-6.85"
"20"	"80 40.0000200000002W"	"6. 52.00002S"	1972-09-05	9	1973	"-80.666667"	"-6.866667"
"21"	"81 2.99999999999983W"	"6. 52.99998S"	1972-09-05	9	1973	"-81.05"	"-6.883333"
"22"	"79 42.0000000000002W"	"7. 25.00002S"	1972-09-05	9	1973	"-79.7"	"-7.416667"
"23"	"80 22.9999799999996W"	"7. 10.00002S"	1972-09-05	9	1973	"-80.383333"	"-7.166667"
"24"	"80 31.9999799999999W"	"6. 43.00002S"	1972-09-05	9	1973	"-80.533333"	"-6.716667"
"25"	"80 1.00001999999989W"	"7. 36S"	1972-09-05	9	1973	"-80.016667"	"-7.6"
"26"	"79 46.0000199999999W"	"8. 1.99998000000004S"	1972-09-05	9	1973	"-79.766667"	"-8.033333"
"27"	"80 52.9999799999996W"	"7. 58.99998S"	1972-09-05	9	1973	"-80.883333"	"-7.983333"
"28"	"79 22.0000200000004W"	"8. 40.00002S"	1972-09-05	9	1973	"-79.366667"	"-8.666667"
"29"	"78 55.0000200000002W"	"8. 40.00002S"	1972-09-05	9	1973	"-78.916667"	"-8.666667"
"30"	"78 42.0000000000002W"	"9. 24S"	1972-09-05	9	1973	"-78.7"	"-9.4"
"31"	"78 34.0000199999997W"	"10 5.99999999999998S"	1972-09-05	9	1973	"-78.566667"	"-10.1"
"32"	"78 54.0000000000003W"	"10 5.99999999999998S"	1972-09-05	9	1973	"-78.9"	"-10.1"
"33"	"79 34.0000199999997W"	"10 5.99999999999998S"	1972-09-05	9	1973	"-79.566667"	"-10.1"
"34"	"78 7.0000200000004W"	"10 12S"	1972-09-05	9	1973	"-78.116667"	"-10.2"
"35"	"78 13.9999800000001W"	"10 12S"	1972-09-05	9	1973	"-78.233333"	"-10.2"
"36"	"78 15W"	"10 12S"	1972-09-05	9	1973	"-78.25"	"-10.2"
"37"	"78 1.00001999999989W"	"10 36S"	1972-09-05	9	1973	"-78.016667"	"-10.6"
"38"	"78 10.9999800000003W"	"10 40.00002S"	1972-09-05	9	1973	"-78.183333"	"-10.666667"
"39"	"78 35.9999999999997W"	"10 40.00002S"	1972-09-05	9	1973	"-78.6"	"-10.666667"
"40"	"78 27.0000000000002W"	"11 19.99998S"	1972-09-05	9	1973	"-78.45"	"-11.333333"
"41"	"77 43.0000200000001W"	"11 58.99998S"	1972-09-05	9	1973	"-77.716667"	"-11.983333"
"42"	"77 52.9999799999996W"	"12 0S"	1972-09-05	9	1973	"-77.883333"	"-12"
"43"	"77 54.0000000000003W"	"11 58.99998S"	1972-09-05	9	1973	"-77.9"	"-11.983333"
"44"	"78 20.9999999999997W"	"10 36.49998S"	1972-09-05	9	1973	"-78.35"	"-10.608333"
"45"	"78 16.9999799999999W"	"10 33S"	1972-09-05	9	1973	"-78.283333"	"-10.55"
"46"	"77 55.0000200000002W"	"10 45S"	1972-09-05	9	1973	"-77.916667"	"-10.75"
"47"	"77 20.9999999999997W"	"11 52.00002S"	1972-09-05	9	1973	"-77.35"	"-11.866667"
"48"	"77 10.0000200000002W"	"12 19.99998S"	1972-09-05	9	1973	"-77.166667"	"-12.333333"
"49"	"77 4.99997999999977W"	"12 28.99998S"	1972-09-05	9	1973	"-77.083333"	"-12.483333"
